# Rime user dictionary
#@/db_name	wubi86.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	3375
#@/user_id	d1b2c03e-7ddb-4b91-be3d-a9075c113920
us 	亲	c=1 d=1 t=3375
usep 	亲爱	c=8 d=3.9002 t=3375
usr 	新	c=5 d=1.06931 t=3375
uthp 	道	c=1 d=0.909373 t=3375
utkk 	产品	c=1 d=0.494109 t=3375
uttf 	道德	c=1 d=0.955997 t=3375
uttg 	产生	c=1 d=0.168638 t=3375
uuje 	阐明	c=1 d=0.38868 t=3375
uwdq 	准确	c=4 d=1.32727 t=3375
v 	发	c=1 d=0.268474 t=3375
vb 	好	c=49 d=9.20886 t=3375
vbet 	好用	c=3 d=0.699394 t=3375
vbvb 	好好	c=1 d=0.571209 t=3375
vbwq 	好像	c=2 d=0.57605 t=3375
vca 	既	c=1 d=0.272532 t=3375
vetd 	退敌	c=2 d=1.14588 t=3375
vfb 	那	c=5 d=1.24895 t=3375
vftc 	那么	c=1 d=1 t=3375
vi 	录	c=1 d=1 t=3375
